,mean,smoothing,model_type,extract_method
0,0.5460549501671508,0.664889788784094,complement,HashingTF
1,0.5503600726443918,0.5943484655611615,complement,HashingTF
2,0.5523826117511923,0.6279686359705199,complement,HashingTF
3,0.5464857533034284,0.5199353280214871,complement,HashingTF
4,0.5396050484937208,0.6100087451276399,complement,HashingTF
5,0.8824020760925061,0.7599031751038198,multinomial,HashingTF
6,0.8535205803914235,0.25683969456403133,multinomial,HashingTF
7,0.8764646763204045,0.5635865136957934,multinomial,HashingTF
8,0.856717305577901,0.38104190566783475,multinomial,HashingTF
9,0.8662366199835855,0.45142852671420913,multinomial,HashingTF
